[2026-01-07 18:04:20.542] [info]    [FILE] System.Buffers.dll (15664 bytes)
[2026-01-07 18:04:20.544] [info]    [FILE] System.Collections.Concurrent.dll (252176 bytes)
[2026-01-07 18:04:20.545] [info]    [FILE] System.Collections.dll (239888 bytes)
[2026-01-07 18:04:20.545] [info]    [FILE] System.Collections.Immutable.dll (751880 bytes)
[2026-01-07 18:04:20.546] [info]    [FILE] System.Collections.NonGeneric.dll (92464 bytes)
[2026-01-07 18:04:20.547] [info]    [FILE] System.Collections.Specialized.dll (92424 bytes)
[2026-01-07 18:04:20.549] [info]    [FILE] System.ComponentModel.Annotations.dll (186632 bytes)
[2026-01-07 18:04:20.550] [info]    [FILE] System.ComponentModel.DataAnnotations.dll (17200 bytes)
[2026-01-07 18:04:20.552] [info]    [FILE] System.ComponentModel.dll (30984 bytes)
[2026-01-07 18:04:20.554] [info]    [FILE] System.ComponentModel.EventBasedAsync.dll (47376 bytes)
[2026-01-07 18:04:20.559] [info]    [FILE] System.ComponentModel.Primitives.dll (76040 bytes)
[2026-01-07 18:04:20.561] [info]    [FILE] System.ComponentModel.TypeConverter.dll (686344 bytes)
[2026-01-07 18:04:20.563] [info]    [FILE] System.Configuration.dll (19720 bytes)
[2026-01-07 18:04:20.564] [info]    [FILE] System.Console.dll (157968 bytes)
[2026-01-07 18:04:20.565] [info]    [FILE] System.Core.dll (23816 bytes)
[2026-01-07 18:04:20.565] [info]    [FILE] System.Data.Common.dll (2648368 bytes)
[2026-01-07 18:04:20.566] [info]    [FILE] System.Data.DataSetExtensions.dll (16136 bytes)
[2026-01-07 18:04:20.567] [info]    [FILE] System.Data.dll (25352 bytes)
[2026-01-07 18:04:20.568] [info]    [FILE] System.Diagnostics.Contracts.dll (16648 bytes)
[2026-01-07 18:04:20.568] [info]    [FILE] System.Diagnostics.Debug.dll (16136 bytes)
[2026-01-07 18:04:20.569] [info]    [FILE] System.Diagnostics.DiagnosticSource.dll (383240 bytes)
[2026-01-07 18:04:20.569] [info]    [FILE] System.Diagnostics.FileVersionInfo.dll (47376 bytes)
[2026-01-07 18:04:20.570] [info]    [FILE] System.Diagnostics.Process.dll (297232 bytes)
[2026-01-07 18:04:20.571] [info]    [FILE] System.Diagnostics.StackTrace.dll (43272 bytes)
[2026-01-07 18:04:20.572] [info]    [FILE] System.Diagnostics.TextWriterTraceListener.dll (63752 bytes)
[2026-01-07 18:04:20.573] [info]    [FILE] System.Diagnostics.Tools.dll (15624 bytes)
[2026-01-07 18:04:20.574] [info]    [FILE] System.Diagnostics.TraceSource.dll (129328 bytes)
[2026-01-07 18:04:20.575] [info]    [FILE] System.Diagnostics.Tracing.dll (16648 bytes)
[2026-01-07 18:04:20.575] [info]    [FILE] System.dll (50440 bytes)
[2026-01-07 18:04:20.576] [info]    [FILE] System.Drawing.dll (20744 bytes)
[2026-01-07 18:04:20.577] [info]    [FILE] System.Drawing.Primitives.dll (129336 bytes)
[2026-01-07 18:04:20.577] [info]    [FILE] System.Dynamic.Runtime.dll (16696 bytes)
[2026-01-07 18:04:20.578] [info]    [FILE] System.Formats.Asn1.dll (223496 bytes)
[2026-01-07 18:04:20.579] [info]    [FILE] System.Formats.Tar.dll (252168 bytes)
[2026-01-07 18:04:20.579] [info]    [FILE] System.Globalization.Calendars.dll (16184 bytes)
[2026-01-07 18:04:20.580] [info]    [FILE] System.Globalization.dll (16144 bytes)
[2026-01-07 18:04:20.581] [info]    [FILE] System.Globalization.Extensions.dll (15624 bytes)
[2026-01-07 18:04:20.581] [info]    [FILE] System.IO.Compression.Brotli.dll (71944 bytes)
[2026-01-07 18:04:20.582] [info]    [FILE] System.IO.Compression.dll (244016 bytes)
[2026-01-07 18:04:20.582] [info]    [FILE] System.IO.Compression.FileSystem.dll (15624 bytes)
[2026-01-07 18:04:20.583] [info]    [FILE] System.IO.Compression.Native.dll (775984 bytes)
[2026-01-07 18:04:20.583] [info]    [FILE] System.IO.Compression.ZipFile.dll (51464 bytes)
[2026-01-07 18:04:20.584] [info]    [FILE] System.IO.dll (16184 bytes)
[2026-01-07 18:04:20.585] [info]    [FILE] System.IO.FileSystem.AccessControl.dll (96568 bytes)
[2026-01-07 18:04:20.586] [info]    [FILE] System.IO.FileSystem.dll (16136 bytes)
[2026-01-07 18:04:20.586] [info]    [FILE] System.IO.FileSystem.DriveInfo.dll (51464 bytes)
[2026-01-07 18:04:20.587] [info]    [FILE] System.IO.FileSystem.Primitives.dll (15624 bytes)
[2026-01-07 18:04:20.588] [info]    [FILE] System.IO.FileSystem.Watcher.dll (76040 bytes)
[2026-01-07 18:04:20.589] [info]    [FILE] System.IO.IsolatedStorage.dll (84232 bytes)
[2026-01-07 18:04:20.589] [info]    [FILE] System.IO.MemoryMappedFiles.dll (76048 bytes)
[2026-01-07 18:04:20.590] [info]    [FILE] System.IO.Pipes.AccessControl.dll (16648 bytes)
[2026-01-07 18:04:20.591] [info]    [FILE] System.IO.Pipes.dll (153864 bytes)
[2026-01-07 18:04:20.592] [info]    [FILE] System.IO.UnmanagedMemoryStream.dll (15664 bytes)
[2026-01-07 18:04:20.593] [info]    [FILE] System.Linq.dll (489784 bytes)
[2026-01-07 18:04:20.594] [info]    [FILE] System.Linq.Expressions.dll (3389744 bytes)
[2026-01-07 18:04:20.594] [info]    [FILE] System.Linq.Parallel.dll (735496 bytes)
[2026-01-07 18:04:20.595] [info]    [FILE] System.Linq.Queryable.dll (166152 bytes)
[2026-01-07 18:04:20.595] [info]    [FILE] System.Memory.dll (145680 bytes)
[2026-01-07 18:04:20.596] [info]    [FILE] System.Net.dll (17672 bytes)
[2026-01-07 18:04:20.597] [info]    [FILE] System.Net.Http.dll (1575224 bytes)
[2026-01-07 18:04:20.597] [info]    [FILE] System.Net.Http.Json.dll (112904 bytes)
[2026-01-07 18:04:20.598] [info]    [FILE] System.Net.HttpListener.dll (493840 bytes)
[2026-01-07 18:04:20.598] [info]    [FILE] System.Net.Mail.dll (391472 bytes)
[2026-01-07 18:04:20.599] [info]    [FILE] System.Net.NameResolution.dll (100616 bytes)
[2026-01-07 18:04:20.599] [info]    [FILE] System.Net.NetworkInformation.dll (141576 bytes)
[2026-01-07 18:04:20.600] [info]    [FILE] System.Net.Ping.dll (84280 bytes)
[2026-01-07 18:04:20.601] [info]    [FILE] System.Net.Primitives.dll (211256 bytes)
[2026-01-07 18:04:20.602] [info]    [FILE] System.Net.Quic.dll (260360 bytes)
[2026-01-07 18:04:20.603] [info]    [FILE] System.Net.Requests.dll (321848 bytes)
[2026-01-07 18:04:20.603] [info]    [FILE] System.Net.Security.dll (604432 bytes)
[2026-01-07 18:04:20.604] [info]    [FILE] System.Net.ServicePoint.dll (43320 bytes)
