[2026-01-07 20:32:52.873] [info]    [FILE] netstandard.dll (101176 bytes)
[2026-01-07 20:32:52.874] [info]    [FILE] Newtonsoft.Json.dll (712464 bytes)
[2026-01-07 20:32:52.875] [info]    [FILE] SiaeBridge.deps.json (30281 bytes)
[2026-01-07 20:32:52.876] [info]    [FILE] SiaeBridge.dll (107008 bytes)
[2026-01-07 20:32:52.877] [info]    [FILE] SiaeBridge.exe (120832 bytes)
[2026-01-07 20:32:52.878] [info]    [FILE] SiaeBridge.pdb (24632 bytes)
[2026-01-07 20:32:52.879] [info]    [FILE] SiaeBridge.runtimeconfig.json (429 bytes)
[2026-01-07 20:32:52.880] [info]    [FILE] System.AppContext.dll (15664 bytes)
[2026-01-07 20:32:52.882] [info]    [FILE] System.Buffers.dll (15664 bytes)
[2026-01-07 20:32:52.883] [info]    [FILE] System.Collections.Concurrent.dll (252176 bytes)
[2026-01-07 20:32:52.884] [info]    [FILE] System.Collections.dll (239888 bytes)
[2026-01-07 20:32:52.885] [info]    [FILE] System.Collections.Immutable.dll (751880 bytes)
[2026-01-07 20:32:52.886] [info]    [FILE] System.Collections.NonGeneric.dll (92464 bytes)
[2026-01-07 20:32:52.887] [info]    [FILE] System.Collections.Specialized.dll (92424 bytes)
[2026-01-07 20:32:52.888] [info]    [FILE] System.ComponentModel.Annotations.dll (186632 bytes)
[2026-01-07 20:32:52.889] [info]    [FILE] System.ComponentModel.DataAnnotations.dll (17200 bytes)
[2026-01-07 20:32:52.890] [info]    [FILE] System.ComponentModel.dll (30984 bytes)
[2026-01-07 20:32:52.891] [info]    [FILE] System.ComponentModel.EventBasedAsync.dll (47376 bytes)
[2026-01-07 20:32:52.892] [info]    [FILE] System.ComponentModel.Primitives.dll (76040 bytes)
[2026-01-07 20:32:52.893] [info]    [FILE] System.ComponentModel.TypeConverter.dll (686344 bytes)
[2026-01-07 20:32:52.894] [info]    [FILE] System.Configuration.dll (19720 bytes)
[2026-01-07 20:32:52.895] [info]    [FILE] System.Console.dll (157968 bytes)
[2026-01-07 20:32:52.896] [info]    [FILE] System.Core.dll (23816 bytes)
[2026-01-07 20:32:52.896] [info]    [FILE] System.Data.Common.dll (2648368 bytes)
[2026-01-07 20:32:52.897] [info]    [FILE] System.Data.DataSetExtensions.dll (16136 bytes)
[2026-01-07 20:32:52.899] [info]    [FILE] System.Data.dll (25352 bytes)
[2026-01-07 20:32:52.900] [info]    [FILE] System.Diagnostics.Contracts.dll (16648 bytes)
[2026-01-07 20:32:52.901] [info]    [FILE] System.Diagnostics.Debug.dll (16136 bytes)
[2026-01-07 20:32:52.902] [info]    [FILE] System.Diagnostics.DiagnosticSource.dll (383240 bytes)
[2026-01-07 20:32:52.903] [info]    [FILE] System.Diagnostics.FileVersionInfo.dll (47376 bytes)
[2026-01-07 20:32:52.903] [info]    [FILE] System.Diagnostics.Process.dll (297232 bytes)
[2026-01-07 20:32:52.904] [info]    [FILE] System.Diagnostics.StackTrace.dll (43272 bytes)
[2026-01-07 20:32:52.905] [info]    [FILE] System.Diagnostics.TextWriterTraceListener.dll (63752 bytes)
[2026-01-07 20:32:52.906] [info]    [FILE] System.Diagnostics.Tools.dll (15624 bytes)
[2026-01-07 20:32:52.906] [info]    [FILE] System.Diagnostics.TraceSource.dll (129328 bytes)
[2026-01-07 20:32:52.907] [info]    [FILE] System.Diagnostics.Tracing.dll (16648 bytes)
[2026-01-07 20:32:52.908] [info]    [FILE] System.dll (50440 bytes)
[2026-01-07 20:32:52.909] [info]    [FILE] System.Drawing.dll (20744 bytes)
[2026-01-07 20:32:52.909] [info]    [FILE] System.Drawing.Primitives.dll (129336 bytes)
[2026-01-07 20:32:52.910] [info]    [FILE] System.Dynamic.Runtime.dll (16696 bytes)
[2026-01-07 20:32:52.912] [info]    [FILE] System.Formats.Asn1.dll (223496 bytes)
[2026-01-07 20:32:52.913] [info]    [FILE] System.Formats.Tar.dll (252168 bytes)
[2026-01-07 20:32:52.914] [info]    [FILE] System.Globalization.Calendars.dll (16184 bytes)
[2026-01-07 20:32:52.915] [info]    [FILE] System.Globalization.dll (16144 bytes)
[2026-01-07 20:32:52.917] [info]    [FILE] System.Globalization.Extensions.dll (15624 bytes)
[2026-01-07 20:32:52.918] [info]    [FILE] System.IO.Compression.Brotli.dll (71944 bytes)
[2026-01-07 20:32:52.919] [info]    [FILE] System.IO.Compression.dll (244016 bytes)
[2026-01-07 20:32:52.919] [info]    [FILE] System.IO.Compression.FileSystem.dll (15624 bytes)
[2026-01-07 20:32:52.920] [info]    [FILE] System.IO.Compression.Native.dll (775984 bytes)
[2026-01-07 20:32:52.921] [info]    [FILE] System.IO.Compression.ZipFile.dll (51464 bytes)
[2026-01-07 20:32:52.922] [info]    [FILE] System.IO.dll (16184 bytes)
[2026-01-07 20:32:52.923] [info]    [FILE] System.IO.FileSystem.AccessControl.dll (96568 bytes)
[2026-01-07 20:32:52.924] [info]    [FILE] System.IO.FileSystem.dll (16136 bytes)
[2026-01-07 20:32:52.925] [info]    [FILE] System.IO.FileSystem.DriveInfo.dll (51464 bytes)
[2026-01-07 20:32:52.926] [info]    [FILE] System.IO.FileSystem.Primitives.dll (15624 bytes)
[2026-01-07 20:32:52.927] [info]    [FILE] System.IO.FileSystem.Watcher.dll (76040 bytes)
[2026-01-07 20:32:52.928] [info]    [FILE] System.IO.IsolatedStorage.dll (84232 bytes)
[2026-01-07 20:32:52.929] [info]    [FILE] System.IO.MemoryMappedFiles.dll (76048 bytes)
[2026-01-07 20:32:52.930] [info]    [FILE] System.IO.Pipes.AccessControl.dll (16648 bytes)
[2026-01-07 20:32:52.931] [info]    [FILE] System.IO.Pipes.dll (153864 bytes)
[2026-01-07 20:32:52.932] [info]    [FILE] System.IO.UnmanagedMemoryStream.dll (15664 bytes)
[2026-01-07 20:32:52.933] [info]    [FILE] System.Linq.dll (489784 bytes)
[2026-01-07 20:32:52.934] [info]    [FILE] System.Linq.Expressions.dll (3389744 bytes)
[2026-01-07 20:32:52.935] [info]    [FILE] System.Linq.Parallel.dll (735496 bytes)
[2026-01-07 20:32:52.936] [info]    [FILE] System.Linq.Queryable.dll (166152 bytes)
[2026-01-07 20:32:52.937] [info]    [FILE] System.Memory.dll (145680 bytes)
